Date,Close,High,Low,Open,Volume,daily_return,log_return,MA7,MA21,MA50,MA200,EMA12,EMA26,volatility_21d,price_range
2019-01-01,3843.52001953125,3850.913818359375,3707.231201171875,3746.71337890625,4324200990,,,,,,,3843.52001953125,3843.52001953125,,0.03738308021224339
2019-01-02,3943.409423828125,3947.981201171875,3817.409423828125,3849.21630859375,5244856836,2.5989042281366226,0.025657066653891034,,,,,3858.8876201923076,3850.919234664352,,0.03311139253123645
2019-01-03,3836.7412109375,3935.68505859375,3826.222900390625,3931.048583984375,4530215219,-2.704974336321264,-0.02742232180619206,,,,,3855.480480306953,3849.869010684585,,0.02852998213459858
2019-01-04,3857.717529296875,3865.9345703125,3783.853759765625,3832.0400390625,4847965467,0.5467222626216461,0.005452331614920808,,,,,3855.8246416900174,3850.450382433644,,0.021277040095218018
2019-01-05,3845.194580078125,3904.903076171875,3836.900146484375,3851.973876953125,5137609824,-0.3246206888826486,-0.003251487248933267,,,,,3854.1892475958803,3850.0610637406426,,0.017685172563131603
2019-01-06,4076.632568359375,4093.29736328125,3826.51318359375,3836.51904296875,5597027440,6.018888861446059,0.058447089054905726,,,,,3888.4112969441103,3866.844138156845,,0.06544229218942492
2019-01-07,4025.248291015625,4092.613525390625,4020.89404296875,4078.5849609375,5228625637,-1.260458883210791,-0.012684700557385667,3918.3519461495534,,,,3909.4631421858817,3878.577779109347,,0.017817405843498713
2019-01-08,4030.847900390625,4109.02099609375,3996.955322265625,4028.47216796875,5306593305,0.13911214837352137,0.0013901547706836324,3945.1130719866073,,,,3928.137720371227,3889.857047352404,,0.027802010047877232
2019-01-09,4035.29638671875,4068.403564453125,4022.662841796875,4031.552001953125,5115905225,0.11036105648376537,0.0011030020343775215,3958.2397809709823,,,,3944.6236690400765,3900.6303317499114,,0.011335158132818959
2019-01-10,3678.924560546875,4064.066650390625,3659.174560546875,4034.411376953125,6874143796,-8.831366819666354,-0.0924592824929815,3935.6945452008927,,,,3903.7468831180454,3884.207682031168,,0.11005718741445529
2019-01-11,3687.365478515625,3713.8818359375,3653.06982421875,3674.015380859375,5538712865,0.22943982214995717,0.002291770109090111,3911.3585379464284,,,,3870.4574362561343,3869.6267780670537,,0.016491994643077882
2019-01-12,3661.301025390625,3698.978271484375,3653.810791015625,3686.97314453125,4778170883,-0.7068584135981104,-0.0070936849314874395,3885.0880301339284,,,,3838.27952689221,3854.195240831763,,0.012336456400476132
2019-01-13,3552.953125,3674.760009765625,3544.92724609375,3658.8681640625,4681302466,-2.9592732102399433,-0.030039431790895278,3810.276681082589,,,,3794.383157370332,3831.8810100294104,,0.03654221125472208
2019-01-14,3706.05224609375,3727.836181640625,3552.28515625,3557.31103515625,5651384490,4.309066731460187,0.04218810159294485,3764.67724609375,,,,3780.7937864047035,3822.560360848991,,0.04736874003210806
2019-01-15,3630.67529296875,3720.1533203125,3619.94921875,3704.21630859375,5537192302,-2.033888032864317,-0.020548563372547957,3707.5097307477677,,,,3757.698633568403,3808.3466521171213,,0.027599301363181
2019-01-16,3655.0068359375,3685.777099609375,3624.67333984375,3631.509765625,5394457145,0.6701657682214313,0.006679301401546422,3653.1826520647323,,,,3741.899895471341,3796.988147214927,,0.01671782366173114
2019-01-17,3678.56396484375,3680.135986328125,3621.9609375,3651.87109375,5464420383,0.6445166852939055,0.006424485580328479,3653.1311383928573,,,,3732.1559061440194,3788.215985557803,,0.015814608467898703
2019-01-18,3657.83935546875,3682.52001953125,3637.080810546875,3677.990478515625,5002961727,-0.5633885824214646,-0.005649816019732142,3648.9131208147323,,,,3720.7225906555163,3778.5584574030586,,0.012422417872572753
2019-01-19,3728.568359375,3758.533447265625,3652.3779296875,3652.3779296875,5955691380,1.9336279435154813,0.01915170905873867,3658.5227399553573,,,,3721.9296319969753,3774.855487178758,,0.028470851905185206
2019-01-20,3601.013671875,3743.387939453125,3583.01953125,3725.446044921875,5582489560,-3.4210097604695955,-0.03480896076891464,3665.3885323660716,,,,3703.3271765935947,3761.978315674776,,0.04453424030451495
2019-01-21,3576.032470703125,3608.8408203125,3558.537109375,3600.372802734375,5004347059,-0.6937269182559769,-0.006961443903655484,3646.814278738839,3776.6144903273807,,,3683.743375687369,3748.2045493805795,,0.014066905529973896
2019-01-22,3604.5771484375,3620.74658203125,3539.721435546875,3575.081298828125,5313623556,0.7982219951364833,0.00795053055647093,3643.0859723772323,3765.236258370536,,,3671.563956110466,3737.565482644055,0.48085847491415434,0.022478405412822835
2019-01-23,3585.123046875,3623.06787109375,3565.31396484375,3605.55712890625,5433755649,-0.5397055122244532,-0.005411671839448025,3633.1025739397323,3748.175002325149,,,3658.2653546896245,3726.2734503648658,0.4693904370924622,0.016109323304911844
2019-01-24,3600.865478515625,3616.08740234375,3569.0927734375,3584.500244140625,5262869046,0.43910436084884097,0.004381431105509742,3622.0027901785716,3736.942824590774,,,3649.4346045090088,3716.9839709686257,0.46273389849286684,0.013050926002829316
2019-01-25,3599.765869140625,3612.927734375,3575.597412109375,3607.390380859375,5265847539,-0.03053736335224544,-0.00030542026954499585,3613.7065778459823,3724.6594122023807,,,3641.7932606061804,3708.3011486109963,0.4618343686713958,0.010370208403175093
2019-01-26,3602.46044921875,3654.93310546875,3593.345947265625,3599.71533203125,5098183235,0.07485431486600191,0.0007482631299659863,3595.691162109375,3713.1006440662204,,,3635.742058854268,3700.461096804163,0.4620469705488057,0.017095859641285207
2019-01-27,3583.9658203125,3612.67138671875,3567.245849609375,3604.687255859375,5570752966,-0.5133888120898322,-0.005147111803203804,3593.2557547433034,3689.6403227306546,,,3627.776483693996,3691.83181706404,0.40419814375606095,0.012674656898768686
2019-01-28,3470.450439453125,3586.7509765625,3439.23291015625,3584.283203125,6908930483,-3.167312037855241,-0.0321855631491495,3578.172607421875,3663.2213774181546,,,3603.572476887708,3675.4331965002684,0.41371366433869755,0.04250689326354303
2019-01-29,3448.116943359375,3476.0654296875,3400.81982421875,3468.8701171875,5897159493,-0.6435330653293936,-0.006456126661071388,3555.8211495535716,3635.4722842261904,,,3579.656240960272,3658.594955526869,0.4125852039673643,0.021822231294580437
2019-01-30,3486.181640625,3495.1748046875,3429.387939453125,3443.89697265625,5955112627,1.103927096757329,0.010978782970954,3541.6866629464284,3609.3239629836307,,,3565.2755332163842,3645.8235988674714,0.41655963886613717,0.018870750871885375
2019-01-31,3457.792724609375,3504.804931640625,3447.915771484375,3485.4091796875,5831198271,-0.8143269325041613,-0.008176606850343018,3521.2476981026784,3598.793875558036,,,3548.7397165076136,3631.895385959464,0.27781690953733706,0.01645244949223402
2019-02-01,3487.9453125,3501.9541015625,3431.591552734375,3460.547119140625,5422926707,0.8720183739189036,0.00868238253365107,3505.2733328683034,3589.297677176339,,,3539.386731275673,3621.2324175550593,0.28020844732512773,0.020173065379196654
2019-02-02,3521.060791015625,3523.287353515625,3467.57470703125,3484.6259765625,5071623601,0.9494265405179059,0.009449478125773406,3493.6448102678573,3582.6195707775296,,,3536.5673558510503,3613.8122970706568,0.28274965431380855,0.01582268804518569
2019-02-03,3464.013427734375,3521.38818359375,3447.92431640625,3516.1396484375,5043937584,-1.620175471744556,-0.016334438234447555,3476.5087541852677,3578.384347098214,,,3525.4052130638693,3602.7160845272288,0.26920069551291004,0.021207731644258886
2019-02-04,3459.154052734375,3476.223876953125,3442.5869140625,3467.211669921875,5332718886,-0.14028164443861124,-0.0014038013125416823,3474.8949846540177,3566.6272902715773,,,3515.2127268593313,3592.0818599499803,0.21817797410612497,0.009724043039955338
2019-02-05,3466.357421875,3478.148193359375,3451.93701171875,3454.950927734375,5227549545,0.20824077305636735,0.0020802425249583987,3477.5007672991073,3558.8026297433034,,,3507.6965260925112,3582.768938611093,0.20952510619308598,0.007561592314518742
